song title,artist/band name,year,lyrics url
Stop The War,Edwin Starr,1971,https://www.azlyrics.com/lyrics/edwinstarr/stopthewar.html
Under Your Spell Again,Waylon Jennings,1972,https://www.azlyrics.com/lyrics/waylonjennings/underyourspellagain.html
One Step Beyond,Willie Nelson,1972,https://www.azlyrics.com/lyrics/willienelson/onestepbeyond151022.html
Keep Our Love Alive,Paul Davis,1972,https://www.azlyrics.com/lyrics/pauldavis/keepourlovealive.html
They Don't Dance Like Carmen No More,Jimmy Buffett,1973,https://www.azlyrics.com/lyrics/jimmybuffett/theydontdancelikecarmennomore.html
Sweet Painted Lady,Elton John,1973,https://www.azlyrics.com/lyrics/eltonjohn/sweetpaintedlady.html
Brand New Kind Of Love,"Goldsboro, Bobby",1973,https://www.azlyrics.com/lyrics/bobbygoldsboro/brandnewkindoflove.html
If,Scott Walker,1973,https://www.azlyrics.com/lyrics/scottwalker/if.html
Soho (Needless To Say),"Stewart, Al",1973,https://www.azlyrics.com/lyrics/alstewart/sohoneedlesstosay.html
Uproar,Anne Murray,1974,https://www.azlyrics.com/lyrics/annemurray/uproar.html
It's Too Late (She's Gone)(Bonus Track),"Garcia, Jerry",1974,https://www.azlyrics.com/lyrics/jerrygarcia/itstoolateshesgone.html
Gone To Hell In A Basket,Tom T. Hall,1974,https://www.azlyrics.com/lyrics/tomthall/gonetohellinabasket.html
I Found A Million Dollar Baby (In A Five & Ten Cent Store),Barbra Streisand,1975,https://www.azlyrics.com/lyrics/barbrastreisand/ifoundamilliondollarbabyinafivetencentstore.html
Crying,"Milsap, Ronnie",1975,https://www.azlyrics.com/lyrics/ronniemilsap/crying.html
Man's Gotta Give Up A Lot,"Haggard, Merle",1975,https://www.azlyrics.com/lyrics/merlehaggard/mansgottagiveupalot.html
Nutbush City Limits,Bob Seger,1975,https://www.azlyrics.com/lyrics/bobseger/nutbushcitylimits.html
Storm At Sunup,"Vannelli, Gino",1975,https://www.azlyrics.com/lyrics/ginovannelli/stormatsunup.html
Four Hands In The Fire,"Spinners, The",1976,https://www.azlyrics.com/lyrics/spinners/fourhandsinthefire.html
Something So Feminine About A Mandoline,Jimmy Buffett,1976,https://www.azlyrics.com/lyrics/jimmybuffett/somethingsofeminineaboutamandoline.html
Goin' And A Blowin',Chris LeDoux,1976,https://www.azlyrics.com/lyrics/chrisledoux/goinandablowin.html
This Masquerade,"Benson, George",1976,https://www.azlyrics.com/lyrics/georgebenson/thismasquerade.html
Airplane,Beach Boys,1977,https://www.azlyrics.com/lyrics/beachboys/airplane.html
Sarah,America,1977,https://www.azlyrics.com/lyrics/america/sarah.html
Mi Album De Recuerdos,Albert Hammond,1977,https://www.azlyrics.com/lyrics/alberthammond/mialbumderecuerdos.html
Hallowed Be Thy Name,"Emerson, Lake & Palmer",1977,https://www.azlyrics.com/lyrics/emersonlakepalmer/hallowedbethyname.html
Incantations (Part 1),"Oldfield, Mike",1978,https://www.azlyrics.com/lyrics/mikeoldfield/incantationspart1.html
Brother To Brother,Gino Vannelli,1978,https://www.azlyrics.com/lyrics/ginovannelli/brothertobrother.html
